empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,dominio
b908654f64e2ff980650c387af81,9,3,3,2,4,7,18,50,44,47,45,53,35,41,48,57,55,72,73,56,43,49,28,34,876,0
2102b96456e44dd1f2cee1f2ce53,0,0,0,0,0,0,24,32,33,46,43,49,46,53,41,34,64,81,76,55,49,42,26,0,794,0
ee942c1b41c9f09279367180820b,2,0,0,0,0,0,13,29,38,52,36,45,45,50,46,28,43,63,53,58,40,26,29,18,714,0
3d846b21922ade6d3f11283ac706,46,11,14,8,18,36,40,99,105,143,166,145,157,215,145,129,144,154,174,163,215,139,74,93,2633,0
de64e4d2bd07878c91940abdc693,0,0,0,0,0,0,8,22,37,29,32,28,36,40,37,47,58,47,44,48,63,70,15,2,663,0
71eb43ab4c3d2edcced8adf847a2,1,0,0,0,0,0,55,148,161,159,172,123,133,150,134,169,181,202,183,174,120,105,66,29,2465,0
47c6c519309b51fbc84161e6f567,2,2,2,2,0,3,15,29,35,24,24,28,38,30,38,34,47,45,40,36,43,35,40,23,615,0
7ab246a9cecf0952932aa53441bc,12,9,5,11,5,12,38,36,41,29,32,27,36,36,34,42,39,45,45,39,36,34,7,27,677,0
1b4f280f6b1763ec568a2062c9f4,12,9,6,6,12,16,38,55,72,72,70,79,75,68,87,73,88,90,99,70,59,45,32,28,1261,0
09b2281eb937b5be242abc559e49,0,0,0,0,0,0,5,30,36,50,39,46,45,57,47,56,46,58,52,31,14,0,0,0,612,0
ceb0957f0b46f6583f7984c740d1,30,38,15,16,24,39,42,65,43,81,73,74,70,67,64,78,69,97,63,69,61,58,68,51,1355,0
fae30aba92662fbbe34f7a412254,16,0,0,0,0,22,24,43,38,32,43,34,32,37,44,43,38,68,53,60,44,26,22,19,738,0
35098133426ce5bfb58b617478b1,35,36,17,8,22,13,6,30,29,53,69,56,68,67,43,63,86,63,63,51,33,29,20,17,977,0
ad78bf025e3d251a48a0e0319418,21,19,2,0,3,0,70,147,148,97,88,65,88,81,55,71,75,102,111,96,59,55,63,66,1582,0
dfc8e4681c9d492cef3230d4ea17,4,1,2,1,4,3,10,31,41,35,46,57,67,66,64,66,74,90,102,96,108,85,39,21,1113,0
6471746a302692421dae1060fa68,0,0,0,0,0,0,8,58,58,65,56,74,68,72,71,77,75,73,75,95,72,57,28,0,1082,0
bd31c5841c9e36f32c4c867d8d8a,2,3,2,1,0,1,9,23,23,24,18,17,31,23,25,28,31,22,21,19,29,23,22,4,401,0
89d4d5bfe6341f8a1e75275f6968,14,7,3,2,5,1,2,16,16,14,12,15,17,13,20,16,17,13,16,15,16,18,23,19,310,0
c2b29ee7280531c5d46c2ab9902a,2,0,0,0,0,9,19,46,33,36,37,30,37,44,46,48,44,56,41,50,35,38,39,26,716,0
9cddb8b88228cd7c4eead0b03bfd,123,46,59,60,52,127,137,91,80,127,192,165,99,194,210,229,320,457,377,201,109,110,80,89,3734,0
