encrypted_cnpj;encrypted_cnpj_prefix;encrypted_5_zipcode;encrypted_domain;cnae_code;cnae_desc;cheque;crediario;credito;debito;deposito;dinheiro;transferencia;prod_variety;day_mean;best_hour;best_hour_mean;interval_0h_4h;interval_4h_8h;interval_8h_12h;interval_12h_16h;interval_16h_20h;interval_20h_24h
94207ef5ae6b90e534f6985fe6de;3,83635E+63;3,83434E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,174281677;0,825718323;0;0;0;185;8,388888889; 0:00 -  1:00;8,388888889;8,388888889;;;;;
943c2acc19ff08aec443cdb57a61;3,53466E+63;6,13535E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,641211323;0,337722186;0;0,021066491;0;232;7,5; 0:00 -  1:00;7,5;7,5;;;;;
9476a8475601a94eba62f790c46b;3,03964E+63;3,33635E+63;3,13234E+63;5611201;Restaurantes e similares;0;0;0;0,92345544;0;0,07654456;0;135;11,88764045; 0:00 -  1:00;11,88764045;11,88764045;;;;;
947b7b21d2683ab0817b88c7192d;6,66438E+63;3,43231E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,03192585;0,017301751;0;0,9507724;0;51;15,36263736; 8:00 -  9:00;1,943396226;1,242424242;1,538461538;4,310344828;3,741573034;4,38372093;2,461538462
954afab1e40674af5e0e65c72251;6,63167E+63;3,26639E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;164;6,477272727;15:00 - 16:00;1,886363636;;;1,647058824;3,359375;3,067567568;2,057142857
956ace06c398587a992179e5fdb3;3,6303E+63;3,83864E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;1;1;17:00 - 18:00;1;;;;;1;
9575106cf286e8e953ea835129f9;3,53161E+63;6,66137E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,225846926;0,774153074;0;0;0;182;8,054794521; 0:00 -  1:00;8,054794521;8,054794521;;;;;
95764d018a19edf99d5e22e6c31d;3,1633E+63;6,36335E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;;0;;;0;;0;49;8,02247191; 0:00 -  1:00;8,02247191;8,02247191;;;;;
957f7f6e12aa5419355a47420f9c;3,33039E+63;3,46663E+63;6,13965E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;0;0,247524752;0,752475248;0;0;0;192;10,72826087;12:00 - 13:00;1,609756098;1,634146341;1,571428571;2,884057971;3,141025641;3,275;2,466666667
95e4140cacdc803b0d9953737d74;6,33264E+63;3,96539E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,433561644;0,566438356;0;0;0;179;7,444444444; 0:00 -  1:00;7,444444444;7,444444444;;;;;
96038a4f11a45be459e4124b9634;3,63266E+63;3,03732E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;;;;;;;;0;;;;;;;;;
96c63a401437d54d4c108d2e22d4;6,16539E+63;3,33236E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;488;7,375;11:00 - 12:00;2,166666667;;;2,181818182;2,987179487;3,064935065;1,830508475
970061d4b49dbdce929ec86dd560;3,33662E+63;6,66662E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,256198347;0,684769776;0;0,059031877;0;184;8,355555556; 0:00 -  1:00;8,355555556;8,355555556;;;;;
97117f48033f6e0e166fcac96ac1;3,36538E+63;6,16263E+63;6,13965E+63;0;********;0;0;0,009737277;0,031232776;0;0,959029947;0;249;19,2826087;18:00 - 19:00;1,982758621;1,973684211;2,785714286;3,906976744;3,862068966;4,453488372;3,850574713
977307e8c7ef850e7ce28f429120;6,26534E+63;6,26239E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,388117284;0,571759259;0;0,040123457;0;173;6,651685393; 0:00 -  1:00;6,651685393;6,651685393;;;;;
97b1f28a4a36d2ef4891489cd654;3,86138E+63;6,23536E+63;3,13234E+63;5611201;Restaurantes e similares;0;0;0;0,706176962;0;0,293823038;0;89;4,772727273; 0:00 -  1:00;4,772727273;4,772727273;;;;;
97eb961e17fe2780181200d95be0;3,23961E+63;3,26363E+63;3,13035E+63;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;0;;0;0;0;0;0;546;9,404494382; 7:00 -  8:00;8;;8;1,764705882;3,405405405;4,011904762;2,903225806
982ce92852024da51ce420649b80;3,43934E+63;3,33739E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,393528432;0,606471568;0;0;0;169;6,4; 0:00 -  1:00;6,4;6,4;;;;;
